date,home,away,home_ml,away_ml,home_spread
12/05/2025,Oklahoma City Thunder,Dallas Mavericks,-1299,+600,-15.5   
12/05/2025,New York Knicks,Utah Jazz,+104,-143,+2.5  
12/05/2025,Toronto Raptors,Charlotte Hornets,-370,+255,-8.5   
12/05/2025,Houston Rockets,Phoenix Suns,-599,+379,-11.5  
12/05/2025,Detroit Pistons,Portland Trail Blazers,-310,+220,-7.5   
12/05/2025,Chicago Bulls,Indiana Pacers,-228,+167,+5.5   
12/05/2025,Boston Celtics,Los Angeles Lakers,-300,+212,7.5   
12/05/2025,Memphis Grizzlies,LA Clippers,+100,-133,+1.5   
12/05/2025,Orlando Magic,Miami Heat,-226,+165,-5.5   
12/05/2025,Cleveland Cavaliers,San Antonio Spurs,-212,+156,-5.5   
12/05/2025,Milwaukee Bucks,Philadelphia 76ers,+103,-137,+2.5   
12/05/2025,Atlanta Hawks,Denver Nuggets,+208,-290,+8.5
